model,year,transmission,mileage,fuelType,mpg,engineSize,price
 Tiguan,2018,Automatic,10776,Diesel,28.8,2,21500
 Tiguan,2018,Automatic,20112,Diesel,24.8,2,21500
 Tiguan,2019,Automatic,8443,Diesel,17.65,2,29970
 Tucson,2017,Manual,15804,Diesel,30.85,1.7,14798
 Tiguan,2020,Automatic,4444,Petrol,15.7,2,31490
 Tiguan,2019,Automatic,14488,Other,20.2,2,24989
 Tucson,2017,Manual,6430,Diesel,30.85,1.7,14798
 Tucson,2017,Semi-Auto,23487,Diesel,28.8,1.7,14798
 Tiguan,2018,Manual,11003,Diesel,23.95,2,19995
Q3,2014,Automatic,29998,Diesel,23.95,2,14799
1 Series,2014,Manual,31914,Petrol,17.65,3,14799
 Tiguan,2019,Automatic,13146,Other,20.2,2,24989
 Tiguan,2019,Automatic,13067,Diesel,19.9,2,27850
 Santa Fe,2014,Automatic,51344,Diesel,20.75,2.2,14799
 Tiguan,2019,Manual,12229,Petrol,20.45,1.5,20449
 Tiguan,2019,Automatic,8491,Other,18.1,1.5,24999
 Tiguan,2020,Automatic,3000,Petrol,18.85,1.5,25000
 Tiguan,2019,Automatic,11707,Diesel,17.65,2,31000
 Tiguan,2019,Automatic,5000,Other,15.7,2,32249
 Tiguan,2019,Manual,9234,Diesel,23.95,2,21990
 Tiguan,2019,Automatic,5000,Other,23.95,2,29994
 Tiguan,2019,Manual,7000,Diesel,23.95,2,25000
 Tiguan,2019,Automatic,8496,Other,22.8,2,27990
 Tiguan,2019,Automatic,9680,Diesel,20.2,2,25470
 TT,2015,Manual,34897,Petrol,23.15,2,14799
4 Series,2015,Automatic,51873,Diesel,26.15,3,14799
 Tiguan,2019,Automatic,6000,Diesel,22.8,2,27000
 Tiguan,2018,Manual,24437,Diesel,25.2,2,18750
 Tiguan,2019,Automatic,8500,Diesel,19.6,2,32000
A4,2016,Manual,17418,Diesel,37.15,2,14799
A4,2016,Manual,39989,Diesel,37.15,2,14799
 Tiguan,2019,Automatic,6700,Petrol,15.5,2,30000
A3,2016,Manual,51091,Diesel,32.85,2,14799
 Tiguan,2019,Manual,12900,Diesel,23.95,2,23000
 Tiguan,2019,Automatic,6000,Diesel,20.2,2,26000
A4,2016,Manual,51075,Diesel,31.4,2,14799
4 Series,2016,Manual,57876,Diesel,28.8,2,14799
Z4,2016,Manual,20266,Petrol,20.75,2,14799
X1,2016,Manual,37032,Diesel,30.05,2,14799
 Golf,2016,Automatic,44680,Diesel,31.4,2,14799
 Tiguan,2016,Manual,40807,Diesel,26.65,2,14799
 Superb,2016,Automatic,48675,Diesel,31.4,2,14799
 Kuga,2017,Manual,17339,Diesel,32.1,1.5,14799
 Golf,2017,Manual,7973,Petrol,27.15,1.4,14799
 Yeti Outdoor,2017,Manual,13936,Petrol,25.7,1.2,14799
 Tucson,2017,Manual,36303,Diesel,30.7,1.7,14799
A5,2014,Manual,33507,Diesel,30.7,2,14800
 Focus,2014,Manual,35712,Petrol,19.6,2,14800
 Tiguan,2019,Automatic,12000,Diesel,23.15,2,24995
 Tiguan,2018,Automatic,15325,Diesel,22.8,2,22999
Q3,2015,Manual,33000,Diesel,30.05,2,14800
 Tiguan,2019,Automatic,6000,Other,18.85,1.5,23995
 Tiguan,2018,Manual,3283,Petrol,23.15,1.4,19995
3 Series,2015,Manual,25481,Diesel,32.1,2,14800
 Tiguan,2019,Automatic,2800,Other,15.7,2,31495
 Tiguan,2019,Automatic,2927,Other,15.2,2,43995
1 Series,2015,Automatic,40960,Diesel,30.7,2,14800
 Tiguan,2019,Manual,2430,Diesel,20.2,2,23490
4 Series,2015,Automatic,33627,Diesel,28.25,2,14800
 TT,2016,Manual,50403,Petrol,23.55,1.8,14800
A3,2016,Automatic,29928,Petrol,28.8,1.4,14800
A5,2016,Manual,63332,Diesel,29.45,2,14800
A6,2016,Manual,83023,Diesel,29.45,2,14800
3 Series,2016,Automatic,38838,Diesel,28.8,2,14800
 Tiguan,2019,Automatic,4229,Other,15.2,2,29995
3 Series,2016,Automatic,65000,Diesel,28.8,2,14800
 Tiguan,2018,Manual,30220,Diesel,29.45,2,16950
X1,2016,Automatic,62562,Diesel,32.85,2,14800
 S-MAX,2016,Manual,32469,Diesel,28.25,2,14800
 Sharan,2019,Automatic,15798,Diesel,21.1,2,19299
 Sharan,2018,Automatic,13616,Diesel,27.15,2,23000
 Kuga,2016,Manual,33406,Diesel,30.05,2,14800
 Sharan,2019,Automatic,13524,Diesel,21.1,2,18899
 Sharan,2019,Semi-Auto,11608,Diesel,20.75,2,25995
 Sharan,2018,Semi-Auto,13802,Diesel,27.15,2,22495
 Sharan,2018,Semi-Auto,6196,Diesel,20.75,2,23485
 Sharan,2020,Semi-Auto,2500,Diesel,20.75,2,30790
 Kuga,2016,Manual,31288,Diesel,30.05,2,14800
 Sharan,2019,Manual,5200,Diesel,21.75,2,26295
 Sharan,2018,Manual,17291,Diesel,21.75,2,22650
 Sharan,2019,Manual,50,Diesel,21.75,2,28999
 Sharan,2019,Manual,307,Diesel,21.75,2,26990
 Sharan,2019,Semi-Auto,3000,Diesel,20.45,2,29995
 Sharan,2018,Manual,5559,Petrol,17.65,1.4,21498
 Sharan,2019,Semi-Auto,3000,Diesel,20.45,2,29995
 Sharan,2019,Manual,14453,Diesel,21.75,2,22798
 Sharan,2019,Semi-Auto,10,Diesel,20.45,2,27698
 Sharan,2019,Manual,18,Diesel,21.75,2,23495
 Sharan,2019,Manual,13166,Diesel,21.75,2,22798
 Sharan,2019,Manual,25,Diesel,21.75,2,24698
 Sharan,2019,Manual,12221,Diesel,21.75,2,22798
 Sharan,2019,Manual,15772,Petrol,17.9,1.4,18998
 Sharan,2018,Manual,7721,Petrol,17.65,1.4,20798
 Sharan,2019,Semi-Auto,5,Diesel,20.75,2,26950
 Sharan,2019,Semi-Auto,9415,Diesel,20.45,2,25989
 Sharan,2019,Semi-Auto,9800,Diesel,20.75,2,29989
 Sharan,2019,Semi-Auto,10817,Diesel,20.75,2,22989
 Sharan,2019,Manual,207,Diesel,21.75,2,26995
 Sharan,2020,Manual,741,Diesel,21.75,2,21998
 Sharan,2019,Manual,9911,Petrol,17.65,1.4,21998
 Sharan,2019,Manual,50,Diesel,21.75,2,24698
 Sharan,2018,Manual,4416,Diesel,28.25,2,21291
 Sharan,2019,Semi-Auto,10000,Diesel,20.45,2,28491
 Sharan,2019,Manual,19,Diesel,21.75,2,28995
 Sharan,2019,Semi-Auto,1485,Diesel,20.75,2,22995
 Sharan,2019,Manual,2461,Diesel,21.75,2,23998
 Polo,2016,Semi-Auto,15500,Petrol,25.2,1.8,14800
 Polo,2016,Automatic,22746,Petrol,25.2,1.8,14800
 Sharan,2018,Manual,44000,Diesel,28.25,2,17290
 Scirocco,2016,Manual,35026,Diesel,33.65,2,14800
 Sharan,2019,Semi-Auto,3556,Diesel,20.75,2,24995
 Sharan,2019,Manual,10493,Diesel,21.75,2,21999
 Sharan,2019,Semi-Auto,5019,Diesel,20.45,2,29995
 Octavia,2016,Automatic,41092,Diesel,28.85,2,14800
 Sharan,2019,Semi-Auto,9640,Diesel,20.75,2,25965
 Sharan,2019,Manual,5000,Diesel,21.75,2,26499
 Sharan,2019,Manual,10287,Diesel,21.75,2,21499
 Sharan,2019,Semi-Auto,2001,Diesel,20.75,2,28199
 Sharan,2019,Manual,17303,Diesel,21.75,2,22995
 Sharan,2019,Semi-Auto,6000,Diesel,20.45,2,28999
 Sharan,2018,Semi-Auto,13248,Petrol,21.4,1.4,22499
 Sharan,2019,Semi-Auto,8968,Diesel,20.45,2,25999
 Sharan,2019,Semi-Auto,9566,Diesel,20.75,2,24495
 Sharan,2019,Semi-Auto,3000,Petrol,16.25,1.4,26995
Q2,2017,Automatic,23714,Diesel,34.45,1.6,14800
 Sharan,2019,Semi-Auto,998,Petrol,16.25,1.4,27990
 Sharan,2018,Semi-Auto,19140,Petrol,16.25,1.4,21421
A4,2017,Manual,21225,Diesel,36.2,2,14800
 Sharan,2018,Semi-Auto,10112,Diesel,20.75,2,20995
 Sharan,2019,Semi-Auto,12980,Diesel,20.75,2,24724
 Sharan,2019,Semi-Auto,50,Petrol,16.25,1.4,27991
 Sharan,2019,Semi-Auto,10296,Diesel,20.45,2,27990
 Sharan,2019,Semi-Auto,11855,Diesel,20.75,2,23846
A4,2017,Manual,45500,Diesel,34.45,2,14800
 Sharan,2019,Semi-Auto,11169,Diesel,21.1,2,20906
 Sharan,2019,Manual,14641,Petrol,17.65,1.4,21882
 Sharan,2019,Semi-Auto,15751,Diesel,20.75,2,23706
A4,2017,Manual,42421,Diesel,33.65,2,14800
 Sharan,2019,Manual,13129,Diesel,21.75,2,23554
 Sharan,2019,Manual,10053,Diesel,21.75,2,24186
 Sharan,2019,Manual,14958,Diesel,22.4,2,18582
 Sharan,2018,Semi-Auto,10423,Diesel,20.75,2,23642
3 Series,2017,Manual,29968,Diesel,32.1,2,14800
 Sharan,2020,Semi-Auto,2930,Diesel,20.45,2,31391
 Sharan,2019,Semi-Auto,3175,Diesel,20.75,2,27980
X1,2017,Manual,31518,Diesel,30.05,2,14800
 Sharan,2019,Semi-Auto,4987,Diesel,20.75,2,23891
 Sharan,2019,Semi-Auto,1694,Diesel,20.75,2,28000
 Sharan,2019,Manual,13055,Diesel,22.4,2,19192
 Sharan,2019,Semi-Auto,7552,Petrol,16.25,1.4,24795
 Sharan,2019,Semi-Auto,13287,Diesel,20.75,2,24114
 Kuga,2017,Manual,22992,Diesel,30.05,2,14800
 Sharan,2019,Manual,15434,Diesel,21.75,2,22741
 Sharan,2020,Semi-Auto,1000,Diesel,20.45,2,27990
 Sharan,2019,Semi-Auto,6944,Diesel,20.75,2,28890
 Sharan,2019,Semi-Auto,4375,Diesel,20.45,2,29050
 Kuga,2017,Semi-Auto,59220,Diesel,27.15,2,14800
 Prius,2017,Automatic,58458,Hybrid,47.05,1.8,14800
 Sharan,2020,Semi-Auto,2000,Diesel,20.45,2,30000
 Sharan,2019,Manual,1408,Diesel,21.75,2,25690
 Verso,2017,Automatic,33989,Other,21.75,1.8,14800
 Sharan,2019,Semi-Auto,11548,Diesel,20.75,2,24186
 Sharan,2019,Manual,15375,Diesel,21.75,2,22750
 Superb,2017,Manual,36509,Diesel,32.1,2,14800
 Sharan,2019,Semi-Auto,6097,Diesel,20.75,2,23695
 Sharan,2019,Semi-Auto,13342,Diesel,21.1,2,19990
 Sharan,2019,Semi-Auto,16106,Diesel,21.1,2,19990
 Sharan,2019,Semi-Auto,6101,Diesel,20.45,2,26990
 Sharan,2019,Semi-Auto,19,Diesel,20.75,2,26490
 Sharan,2019,Semi-Auto,20,Diesel,20.75,2,23995
 Sharan,2019,Semi-Auto,13124,Diesel,20.45,2,26490
 Sharan,2019,Semi-Auto,25,Petrol,16.25,1.4,26990
 Sharan,2019,Manual,5000,Diesel,21.75,2,26990
 Sharan,2019,Semi-Auto,21,Diesel,20.75,2,24990
1 Series,2016,Semi-Auto,26804,Diesel,34.45,1.5,14802
 Sharan,2019,Manual,2464,Petrol,17.65,1.4,24987
 Passat,2017,Semi-Auto,20276,Diesel,31.4,2,14802
 Sharan,2019,Manual,15141,Diesel,21.75,2,23676
 Sharan,2019,Manual,15068,Diesel,22.4,2,17446
 Sharan,2020,Semi-Auto,1000,Diesel,20.45,2,30950
 Sharan,2018,Semi-Auto,19966,Diesel,27.15,2,19850
A5,2014,Semi-Auto,55800,Diesel,29.45,2,14810
 Sharan,2018,Semi-Auto,19549,Diesel,27.15,2,21350
 Kuga,2017,Manual,14097,Diesel,30.05,2,14810
 Sharan,2019,Semi-Auto,14789,Diesel,21.1,2,19990
RAV4,2016,Manual,35286,Diesel,30.05,2,14817
 Sharan,2019,Semi-Auto,3669,Diesel,20.45,2,27450
 Sharan,2019,Semi-Auto,8121,Diesel,20.45,2,26990
 Sharan,2019,Semi-Auto,4538,Diesel,20.75,2,25990
 Sharan,2019,Manual,8056,Diesel,21.75,2,25000
A5,2014,Manual,23838,Diesel,30.05,2,14821
 Sharan,2019,Manual,3994,Petrol,17.65,1.4,24490
 Sharan,2019,Semi-Auto,2188,Diesel,20.75,2,21990
 Sharan,2019,Semi-Auto,15618,Diesel,21.1,2,18490
 Sharan,2019,Semi-Auto,12738,Diesel,21.1,2,19990
 Sharan,2019,Semi-Auto,2500,Petrol,16.6,1.4,22990
A3,2016,Manual,38786,Diesel,32.1,2,14821
 Sharan,2019,Semi-Auto,4665,Diesel,21.1,2,23095
 Sharan,2019,Semi-Auto,5121,Petrol,16.25,1.4,28980
 Sharan,2018,Semi-Auto,7094,Diesel,27.15,2,22444
 Sharan,2019,Semi-Auto,25,Diesel,20.75,2,26490
 Sharan,2019,Manual,11901,Diesel,21.75,2,22990
 Octavia,2017,Manual,49579,Diesel,32.1,2,14825
1 Series,2016,Semi-Auto,18095,Diesel,32.85,2,14830
Q3,2014,Manual,49987,Petrol,23.95,1.4,14840
A7,2014,Automatic,69743,Diesel,23.95,3,14840
A4,2016,Automatic,94175,Diesel,30.7,2,14840
A4,2017,Manual,58670,Diesel,37.15,2,14849
 Sharan,2019,Semi-Auto,5000,Petrol,16.25,1.4,25450
 Sharan,2019,Semi-Auto,9277,Diesel,20.75,2,22990
 Auris,2017,Automatic,23746,Hybrid,39.25,1.8,14849
A4,2015,Manual,20434,Petrol,24.8,1.8,14850
 Auris,2015,Automatic,42133,Hybrid,35.3,1.8,14850
 Sharan,2019,Semi-Auto,5000,Diesel,20.75,2,29900
 Sharan,2019,Semi-Auto,2500,Diesel,20.75,2,27750
A4,2016,Manual,49000,Diesel,32.1,2,14850
 Sharan,2019,Semi-Auto,9277,Diesel,20.75,2,23290
 Sharan,2019,Semi-Auto,770,Diesel,20.45,2,27990
 Sharan,2019,Semi-Auto,4323,Diesel,20.45,2,26990
 Sharan,2019,Semi-Auto,14000,Diesel,20.45,2,25780
 Sharan,2019,Semi-Auto,2000,Diesel,20.45,2,32750
 Sharan,2019,Semi-Auto,6000,Diesel,20.75,2,28490
 Golf,2016,Semi-Auto,11201,Petrol,26.65,1.4,14852
 Sharan,2019,Semi-Auto,13461,Diesel,21.1,2,19990
 Sharan,2019,Semi-Auto,15391,Petrol,16.25,1.4,23490
 Sharan,2019,Semi-Auto,6000,Diesel,20.75,2,28490
 Sharan,2019,Semi-Auto,13461,Diesel,21.1,2,21450
 Sharan,2019,Semi-Auto,6000,Petrol,16.25,1.4,27490
 Sharan,2019,Semi-Auto,1438,Petrol,16.25,1.4,25490
 Kuga,2017,Manual,24000,Diesel,27.15,2,14855
 Sharan,2019,Manual,11565,Diesel,21.75,2,23646
 Sharan,2018,Manual,18643,Diesel,28.25,2,19606
 Golf,2016,Manual,52990,Diesel,33.65,2,14859
 Sharan,2019,Manual,3000,Diesel,21.75,2,23500
 Sharan,2019,Semi-Auto,10100,Diesel,21.1,2,19690
 Sharan,2019,Semi-Auto,11800,Petrol,16.25,1.4,23990
 Sharan,2019,Semi-Auto,12307,Diesel,20.75,2,23500
 Sharan,2019,Semi-Auto,8602,Diesel,20.75,2,26990
 Sharan,2019,Semi-Auto,13492,Diesel,20.75,2,24290
2 Series,2015,Automatic,26000,Petrol,23.55,2,14860
 Sharan,2020,Semi-Auto,746,Petrol,16.25,1.4,28990
 Sharan,2019,Semi-Auto,13492,Diesel,20.75,2,24690
 C-HR,2017,Automatic,27850,Petrol,23.95,1.2,14860
 Superb,2017,Semi-Auto,53850,Diesel,31.4,2,14860
 Sharan,2019,Semi-Auto,10753,Diesel,20.75,2,24590
 Sharan,2019,Manual,12420,Petrol,17.9,1.4,18989
 Sharan,2019,Semi-Auto,3504,Petrol,16.25,1.4,23799
 Sharan,2019,Semi-Auto,4000,Diesel,20.75,2,25995
 Sharan,2019,Manual,2800,Diesel,21.75,2,23995
 Sharan,2020,Semi-Auto,2053,Diesel,20.75,2,29491
 Tucson,2017,Manual,20820,Diesel,27.15,2,14860
 Sharan,2019,Semi-Auto,1000,Diesel,20.75,2,27490
 Golf,2016,Manual,19463,Diesel,33.65,2,14867
 Sharan,2020,Semi-Auto,2000,Diesel,20.45,2,34990
1 Series,2014,Semi-Auto,35093,Diesel,30.05,2,14869
 Golf,2016,Automatic,55352,Diesel,31.4,2,14870
 Verso,2015,Semi-Auto,11536,Petrol,21.75,1.8,14871
 Sharan,2019,Semi-Auto,12487,Diesel,20.75,2,23540
 Sharan,2019,Semi-Auto,4450,Diesel,20.75,2,26499
 Sharan,2018,Semi-Auto,12500,Diesel,20.75,2,23499
Q3,2016,Manual,29897,Petrol,25.2,1.4,14875
 Sharan,2019,Semi-Auto,349,Petrol,16.25,1.4,26499
 Octavia,2016,Manual,40522,Diesel,31.4,2,14875
 Sharan,2020,Semi-Auto,250,Petrol,16.25,1.4,36999
 Sharan,2019,Semi-Auto,15,Diesel,21.1,2,23299
 Sharan,2019,Semi-Auto,5000,Petrol,16.25,1.4,27999
 Sharan,2019,Semi-Auto,9297,Diesel,20.75,2,23799
 Sharan,2018,Manual,23350,Petrol,22.05,1.4,18995
 Sharan,2019,Semi-Auto,11512,Diesel,20.45,2,26990
 Sharan,2019,Semi-Auto,17690,Diesel,20.75,2,21941
 Sharan,2019,Manual,10047,Petrol,17.9,1.4,19745
 Sharan,2019,Manual,13702,Petrol,17.9,1.4,18795
 Sharan,2018,Semi-Auto,836,Diesel,27.15,2,25500
 Sharan,2019,Semi-Auto,15811,Diesel,20.75,2,21999
 Sharan,2019,Semi-Auto,4788,Petrol,16.25,1.4,27499
2 Series,2016,Automatic,20937,Petrol,25.7,1.5,14879
 Sharan,2018,Manual,23200,Diesel,28.25,2,19900
 Sharan,2019,Semi-Auto,5000,Diesel,20.45,2,27000
1 Series,2016,Manual,19882,Diesel,32.85,2,14880
 Sharan,2019,Manual,13258,Diesel,21.75,2,21999
 Sharan,2019,Automatic,1144,Diesel,20.75,2,25999
 Sharan,2019,Manual,9232,Diesel,21.75,2,22499
2 Series,2016,Manual,29370,Petrol,26.65,1.5,14880
 Touran,2016,Manual,29729,Diesel,30.7,1.6,14880
1 Series,2016,Manual,42452,Diesel,31.4,2,14881
 Scirocco,2017,Manual,20491,Diesel,27.7,2,14881
 Sharan,2019,Automatic,3998,Diesel,20.45,2,27552
 Sharan,2018,Automatic,16919,Diesel,27.15,2,18997
3 Series,2014,Semi-Auto,63820,Diesel,24.8,3,14882
3 Series,2016,Automatic,45716,Hybrid,67.25,2,14887
 Amarok,2013,Manual,46725,Diesel,17.65,2,14888
Q5,2014,Manual,60173,Diesel,23.95,2,14888
Q3,2016,Manual,29000,Diesel,30.7,2,14888
 Sharan,2020,Automatic,1000,Diesel,20.75,2,29950
 Sharan,2019,Automatic,14000,Diesel,21.1,2,19450
 Sharan,2019,Manual,15672,Diesel,21.75,2,22490
A4,2016,Manual,69600,Diesel,32.1,2,14888
 Tiguan,2014,Automatic,14000,Diesel,23.85,2,14890
A3,2016,Manual,20681,Petrol,29.45,1.4,14890
5 Series,2016,Semi-Auto,29840,Diesel,32.85,2,14890
 Polo,2017,Automatic,17489,Petrol,25.2,1.8,14890
 Superb,2017,Manual,14728,Diesel,32.85,2,14890
 Sharan,2019,Manual,14020,Diesel,21.75,2,21779
 Sharan,2019,Automatic,1200,Diesel,20.75,2,26380
 Yeti Outdoor,2017,Manual,23768,Petrol,25.7,1.2,14890
 Sharan,2019,Automatic,13656,Diesel,20.75,2,22880
3 Series,2014,Semi-Auto,36771,Diesel,28.8,3,14894
 Auris,2014,Automatic,23102,Hybrid,35.3,1.8,14895
 Sharan,2018,Manual,45000,Diesel,28.25,2,17490
 Sharan,2019,Manual,12979,Diesel,21.75,2,22950
A1,2016,Manual,17344,Petrol,28.25,1.4,14895
 Sharan,2019,Automatic,15048,Diesel,20.75,2,22650
 Sharan,2019,Automatic,4444,Diesel,20.75,2,27000
A1,2016,Manual,21072,Petrol,35.3,1.4,14895
 Ioniq,2017,Automatic,27860,Hybrid,39.25,1.6,14895
 Sharan,2019,Automatic,6676,Other,20.75,2,23989
 Sharan,2019,Automatic,13037,Diesel,20.75,2,22490
 Sharan,2019,Automatic,16827,Diesel,21.1,2,19490
 Sharan,2019,Manual,14053,Diesel,21.75,2,22390
A1,2016,Manual,29999,Petrol,28.25,1.4,14897
RAV4,2017,Manual,37100,Diesel,30.05,2,14897
 Sharan,2019,Automatic,17160,Diesel,20.75,2,24000
 Sharan,2019,Automatic,16609,Diesel,21.1,2,21000
 Sharan,2019,Automatic,2089,Petrol,16.25,1.4,25494
A3,2015,Manual,45009,Diesel,33.65,2,14898
A4,2016,Manual,39824,Diesel,35.3,2,14898
 Sharan,2019,Automatic,2500,Other,16.25,1.4,28495
A4,2017,Manual,24222,Petrol,26.65,1.4,14898
1 Series,2017,Manual,28133,Diesel,32.85,2,14898
 Up,2020,Manual,4242,Petrol,27.15,1,10791
 Up,2019,Manual,5425,Petrol,27.15,1,10493
A7,2013,Automatic,75775,Diesel,23.95,3,14899
 Up,2019,Manual,4525,Petrol,27.15,1,9493
A4,2016,Manual,28555,Diesel,35.3,2,14899
A4,2016,Automatic,49093,Diesel,32.1,2,14899
 Up,2019,Manual,254,Petrol,27.15,1,9890
4 Series,2017,Manual,42560,Diesel,31.4,2,14899
 Focus,2017,Manual,28786,Diesel,33.65,2,14899
 Up,2020,Manual,100,Petrol,25.2,1,11990
 Kuga,2017,Manual,20668,Diesel,30.05,2,14899
 Golf,2017,Semi-Auto,26000,Diesel,33.65,2,14899
 Up,2020,Manual,10,Petrol,25.7,1,12695
 Touran,2017,Automatic,43857,Diesel,32.85,1.6,14899
 Up,2019,Manual,1224,Petrol,27.15,1,11995
 Up,2019,Manual,774,Petrol,32.1,1,11995
 Up,2018,Manual,12000,Petrol,25.2,1,11995
 Up,2019,Manual,100,Petrol,31.4,1,9995
 Superb,2017,Manual,30669,Diesel,34.45,2,14899
A4,2012,Automatic,30100,Petrol,22.8,2,14900
 Up,2019,Manual,10,Petrol,27.15,1,9885
A4,2015,Manual,20995,Diesel,32.1,2,14900
 TT,2015,Manual,34889,Diesel,31.4,2,14900
X1,2015,Automatic,44978,Diesel,28.8,2,14900
Q3,2016,Manual,45202,Petrol,25.2,1.4,14900
 Up,2018,Manual,22417,Petrol,25.2,1,11790
 Up,2019,Manual,5000,Petrol,27.15,1,10290
A4,2016,Semi-Auto,50900,Diesel,33.65,2,14900
 Up,2019,Semi-Auto,4500,Petrol,26.15,1,12490
5 Series,2016,Automatic,35309,Diesel,30.05,2,14900
 Up,2020,Manual,2500,Petrol,25.7,1,11690
 Up,2018,Manual,1171,Petrol,27.15,1,7990
1 Series,2016,Manual,10063,Petrol,23.15,2,14900
 Galaxy,2016,Automatic,66015,Diesel,26.15,2,14900
 Up,2018,Manual,19411,Petrol,32.1,1,7777
 Golf,2016,Manual,46246,Diesel,33.65,2,14900
 Golf,2016,Automatic,46196,Diesel,31.4,2,14900
 Up,2019,Manual,10,Petrol,27.15,1,9498
 Passat,2016,Semi-Auto,58272,Diesel,28.8,2,14900
 Up,2018,Manual,12146,Petrol,30.05,1,9495
 Up,2018,Manual,6122,Petrol,34.45,1,8495
 Sharan,2016,Manual,37244,Diesel,28.25,2,14900
X3,2017,Automatic,53325,Diesel,27.15,2,14900
 Kuga,2017,Automatic,24653,Petrol,19.1,1.5,14900
 Kuga,2017,Manual,20857,Diesel,27.15,2,14900
 Kuga,2017,Manual,18743,Diesel,30.05,2,14900
 Up,2019,Manual,3851,Petrol,27.15,1,9495
 Focus,2017,Manual,24277,Diesel,33.65,2,14900
 Up,2018,Manual,12146,Petrol,30.05,1,9495
 Kuga,2017,Manual,8805,Petrol,22.8,1.5,14900
 Kuga,2017,Manual,21419,Diesel,30.05,2,14900
 Up,2019,Manual,3074,Petrol,27.15,1,9895
 Superb,2017,Manual,33600,Diesel,32.1,1.6,14900
 Up,2019,Manual,100,Petrol,27.15,1,9495
 Tucson,2017,Manual,26182,Diesel,30.7,1.7,14900
 Up,2020,Manual,10,Petrol,25.7,1,10990
 Up,2019,Manual,3851,Petrol,27.15,1,9495
 Up,2019,Manual,3074,Petrol,27.15,1,9895
 Tucson,2017,Automatic,12921,Diesel,28.8,1.7,14900
 Santa Fe,2017,Manual,39606,Diesel,23.55,2.2,14900
 Passat,2016,Manual,31653,Diesel,34.45,2,14905
2 Series,2015,Automatic,21062,Petrol,21.75,2,14908
 TT,2016,Manual,37352,Diesel,31.4,2,14919
3 Series,2016,Automatic,59695,Diesel,28.25,3,14920
 Superb,2016,Manual,25639,Diesel,33.65,2,14920
 Up,2019,Manual,12,Petrol,27.15,1,10698
 Tucson,2017,Semi-Auto,27080,Diesel,28.8,1.7,14924
1 Series,2017,Automatic,23786,Diesel,33.65,2,14925
1 Series,2017,Manual,31000,Petrol,23.15,2,14925
 Golf,2015,Manual,68888,Petrol,19.9,2,14929
 Up,2018,Manual,698,Petrol,34.45,1,7950
3 Series,2015,Automatic,33330,Diesel,30.05,2,14930
X1,2017,Manual,77484,Diesel,34.45,2,14930
 Fiesta,2017,Manual,5696,Petrol,32.85,1,14932
A1,2016,Manual,28150,Petrol,28.25,1.4,14937
A5,2014,Automatic,61346,Diesel,24.8,3,14939
A5,2015,Automatic,46374,Diesel,29.45,2,14940
i3,2015,Automatic,59000,Other,235.4,0.6,14940
 Golf,2016,Manual,59987,Diesel,33.65,2,14940
1 Series,2017,Manual,13000,Petrol,26.15,1.5,14940
X1,2017,Manual,64235,Diesel,30.05,2,14940
4 Series,2014,Semi-Auto,49460,Petrol,22.05,2,14941
 Tiguan,2016,Manual,55552,Diesel,26.65,2,14941
2 Series,2017,Automatic,15110,Petrol,27.7,1.5,14943
5 Series,2003,Automatic,37000,Petrol,13.2,3,14950
M3,2004,Automatic,55000,Petrol,11.65,3.2,14950
3 Series,2013,Automatic,66500,Diesel,26.15,3,14950
3 Series,2014,Semi-Auto,66008,Diesel,27.15,3,14950
 Up,2019,Manual,2800,Petrol,27.15,1,10489
 Up,2020,Manual,15,Petrol,27.15,1,10125
 Up,2020,Manual,15,Petrol,27.15,1,10950
 Up,2020,Manual,2800,Petrol,27.15,1,11989
 Up,2018,Manual,13524,Petrol,32.1,1,8489
 Up,2018,Manual,18052,Petrol,32.1,1,8989
1 Series,2014,Semi-Auto,56355,Petrol,18.85,3,14950
4 Series,2014,Automatic,27000,Petrol,23.15,2,14950
A4,2015,Manual,53065,Diesel,30.7,2,14950
3 Series,2015,Manual,44538,Diesel,28.8,2,14950
2 Series,2015,Manual,46555,Diesel,30.05,2,14950
 Up,2018,Manual,7330,Petrol,32.1,1,8995
 S-MAX,2015,Manual,24421,Petrol,21.75,1.5,14950
 Kuga,2015,Manual,25014,Diesel,27.15,2,14950
A4,2016,Manual,22000,Petrol,25.7,1.4,14950
5 Series,2016,Automatic,49650,Diesel,31.4,2,14950
3 Series,2016,Semi-Auto,51741,Diesel,31.4,2,14950
3 Series,2016,Automatic,49967,Diesel,31.4,2,14950
X1,2016,Manual,35481,Diesel,34.45,2,14950
2 Series,2016,Automatic,49756,Diesel,31.4,2,14950
 Up,2018,Manual,9100,Petrol,32.1,1,7450
 Up,2019,Manual,10,Petrol,27.15,1,10950
 Focus,2016,Manual,13820,Petrol,20.75,2,14950
 Up,2018,Manual,16500,Petrol,32.1,1,7750
 Tiguan,2016,Semi-Auto,25100,Diesel,24.8,2,14950
 Up,2020,Manual,1000,Petrol,27.15,1,9950
 Up,2020,Manual,1000,Petrol,27.15,1,10500
 Up,2020,Manual,1000,Petrol,27.15,1,10500
 Up,2020,Manual,1000,Petrol,27.15,1,10450
 Up,2019,Manual,4048,Petrol,27.15,1,8950
 Up,2019,Manual,1000,Petrol,27.15,1,9950
 Up,2020,Manual,99,Petrol,25.7,1,12010
 Touran,2016,Manual,41739,Diesel,30.7,1.6,14950
